 public | okp_unom_id_seq               | последовательность |               |                    | 
 public | okp_unom_rezerv               | таблица            |               |                    | 
 public | okp_unom_rezerv_id_seq        | последовательность |               |                    | 
 public | okp_uop                       | таблица            |               |                    | 
 public | okp_uop_nos_seq               | последовательность |               |                    | 
 public | okp_uopcomment                | таблица            |               |                    | 
 public | okp_uopcomment_id_seq         | последовательность |               |                    | 
 public | okp_uopkimnums                | таблица            |               |                    | 
 public | okp_uopkimnums_id_seq         | последовательность |               |                    | 
 public | okp_uopnums                   | таблица            |               |                    | 
 public | okp_uopnums_id_seq            | последовательность |               |                    | 
 public | okp_uopunion                  | таблица            |               |                    | 
 public | okp_uopunion_id_seq           | последовательность |               |                    | 
 public | okp_upu                       | таблица            |               |                    | 
 public | okp_upu_id_seq                | последовательность |               |                    | 
 public | okp_user_role                 | таблица            |               |                    | 
 public | okp_user_role_id_seq          | последовательность |               |                    | 
 public | okp_userreports               | таблица            |               |                    | 
 public | okp_users                     | таблица            |               |                    | 
 public | okp_users_user_id_seq         | последовательность |               |                    | 
 public | okp_ute                       | таблица            |               |                    | 
 public | okp_ute_id_seq                | последовательность |               |                    | 
 public | okp_uto                       | таблица            |               |                    | 
 public | okp_uto_id_seq                | последовательность |               |                    | 
 public | okp_utp                       | таблица            |               |                    | 
 public | okp_utp_id_seq                | последовательность |               |                    | 
 public | okp_utt                       | таблица            |               |                    | 
 public | okp_utt_id_seq                | последовательность |               |                    | 
 public | okp_var_exwrh                 | таблица            |               |                    | 
 public | okp_var_exwrh_id_seq          | последовательность |               |                    | 
 public | okp_var_kimtype               | таблица            |               |                    | 
 public | okp_var_kimtype_id_seq        | последовательность |               |                    | 
 public | okp_var_param                 | таблица            |               |                    | 
 public | okp_var_param_id_seq          | последовательность |               |                    | 
 public | okp_var_plo                   | таблица            |               |                    | 
 public | okp_var_plo_id_seq            | последовательность |               |                    | 
 public | okp_var_pots                  | таблица            |               |                    | 
 public | okp_var_pots_id_seq           | последовательность |               |                    | 
 public | okp_var_ppp                   | таблица            |               |                    | 
 public | okp_var_ppp_id_seq            | последовательность |               |                    | 
 public | okp_var_rzp                   | таблица            |               |                    | 
 public | okp_var_rzp_data              | таблица            |               |                    | 
 public | okp_var_rzp_data_id_seq       | последовательность |               |                    | 
 public | okp_var_rzp_id_seq            | последовательность |               |                    | 
 public | okp_var_szp                   | таблица            |               |                    | 
 public | okp_var_szp_id_seq            | последовательность |               |                    | 
 public | okp_velem                     | таблица            |               |                    | 
 public | okp_velem_id_seq              | последовательность |               |                    | 
 public | okp_verify                    | таблица            |               |                    | 
 public | okp_verify_id_seq             | последовательность |               |                    | 
 public | okp_verify_snum               | таблица            |               |                    | 
 public | okp_verify_snum_id_seq        | последовательность |               |                    | 
 public | okp_verifyparam_obj           | таблица            |               |                    | 
 public | okp_verifyparam_obj_id_seq    | последовательность |               |                    | 
 public | okp_vobj                      | таблица            |               |                    | 
 public | okp_vobj_id_seq               | последовательность |               |                    | 
 public | okp_voper                     | таблица            |               |                    | 
 public | okp_voper_id_seq              | последовательность |               |                    | 
 public | okp_vplan                     | таблица            |               |                    | 
 public | okp_vplan_id_seq              | последовательность |               |                    | 
 public | okp_vpn                       | таблица            |               |                    | 
 public | okp_vpn_id_seq                | последовательность |               |                    | 
 public | okp_vpnitem                   | таблица            |               |                    | 
 public | okp_vpnitem_id_seq            | последовательность |               |                    | 
 public | okp_vpnitemdata               | таблица            |               |                    | 
 public | okp_vpnitemdata_id_seq        | последовательность |               |                    | 
 public | okp_waste                     | таблица            |               |                    | 
 public | okp_waste_id_seq              | последовательность |               |                    | 
 public | okp_wcr                       | таблица            |               |                    | 
 public | okp_wcr_id_seq                | последовательность |               |                    | 
 public | okp_wcralter                  | таблица            |               |                    | 
 public | okp_wcralter_id_seq           | последовательность |               |                    | 
 public | okp_wcrcapacity               | таблица            |               |                    | 
 public | okp_wcrcapacity_rwc_seq       | последовательность |               |                    | 
 public | okp_wcrcapenlarged            | таблица            |               |                    | 
 public | okp_wcrcapenlarged_rwc_seq    | последовательность |               |                    | 
 public | okp_wcrtar                    | таблица            |               |                    | 
 public | okp_wcrtar_data               | таблица            |               |                    | 
 public | okp_wcrtar_data_id_seq        | последовательность |               |                    | 
 public | okp_wcrtar_id_seq             | последовательность |               |                    | 
 public | okp_workcond                  | таблица            |               |                    | 
 public | okp_wpdocs                    | таблица            |               |                    | 
 public | okp_wpdocs_id_seq             | последовательность |               |                    | 
 public | okp_wpdocsdata                | таблица            |               |                    | 
 public | okp_wpdocsdata_id_seq         | последовательность |               |                    | 
